claim,type,dimension,domain,subtopic
The presence of early voting days can increase voter turnout by at least 10% in most elections.,empirical,calibration,politics,Voter participation
More than half of eligible voters participate in general elections in countries with compulsory voting laws.,empirical,prevalence,politics,Voter participation
The proportion of citizens who vote is generally higher in proportional representation systems compared to majoritarian ones.,empirical,comparison,politics,Voter participation
"Most political scientists agree that voter turnout has a direct, positive impact on the quality of democracy.",empirical,consensus,politics,Voter participation
Voter suppression tactics are morally wrong.,normative,moral valence,politics,Voter participation
Political parties should be responsible for increasing voter turnout.,normative,responsibility,politics,Voter participation
Voter ID laws are an effective policy response to election integrity.,normative,policy response,politics,Voter participation
"Forcing citizens to vote for at least one party in each election would increase voter participation, but it might undermine their autonomy.",normative,value tradeoff,politics,Voter participation
Voting is a loyalty test for political parties and elected officials.,normative,loyalty,politics,Voter participation
Elected representatives should prioritize the will of the majority over individual voters in contentious elections.,normative,authority,politics,Voter participation
Voting is a fundamental right that must be preserved and protected for future generations.,normative,sanctity,politics,Voter participation
"In order to save democracy, it might be necessary to sacrifice some individual freedoms in the short term, such as limiting campaign finance or restricting voting rights for certain groups.",normative,trolley problem,politics,Voter participation
National security policies are often influenced by domestic political considerations.,empirical,calibration,politics,National security
The presence of foreign troops in a country is associated with an increased risk of violent conflict.,empirical,causation,politics,National security
Global military spending has been steadily increasing over the past two decades.,empirical,magnitude,politics,National security
Cybersecurity threats have become a more significant concern for governments than traditional terrorism in recent years.,empirical,comparison,politics,National security
Most countries with high levels of economic development have robust national security institutions in place.,empirical,consensus,politics,National security
The effectiveness of drone strikes in countering terrorism is widely debated among experts.,empirical,calibration,politics,National security
The number of people displaced by conflict has risen significantly since the start of the 21st century.,empirical,magnitude,politics,National security
"Compared to other international organizations, NATO is often seen as being more effective at preventing war in Europe.",empirical,comparison,politics,National security
The use of lethal drones in national security operations is morally justified.,normative,moral valence,politics,National security
Governments should prioritize the accountability of military personnel for war crimes over operational efficiency.,normative,responsibility,politics,National security
A preemptive strike against a nation with potential to develop WMDs is an appropriate policy response in national security situations.,normative,policy response,politics,National security
Prioritizing national security over individual freedoms leads to the erosion of civil liberties.,normative,value tradeoff,politics,National security
Loyalty to one's nation supersedes loyalty to international organizations in matters of national security.,normative,loyalty,politics,National security
The authority of military commanders to make strategic decisions should not be subject to civilian oversight.,normative,authority,politics,National security
The secrecy surrounding national security operations undermines the sanctity of public trust in government institutions.,normative,sanctity,politics,National security
A national security strategy that prioritizes deterrence over diplomacy is a more effective approach to preventing conflicts.,normative,consensus,politics,National security
The presence of foreign military bases in a country tends to reduce the likelihood of violent conflict within that country.,empirical,causation,politics,International relations
"Global spending on international development aid is approximately 0.3% of global GDP, despite significant variation between countries.",empirical,magnitude,politics,International relations
The proportion of democracies among the world's sovereign states has increased since the end of World War II.,empirical,prevalence,politics,International relations
"Major powers, such as China and the United States, have significantly reduced their military spending as a percentage of GDP in recent decades.",empirical,magnitude,politics,International relations
States with stronger institutions tend to trade more with each other than those with weaker institutions.,empirical,causation,politics,International relations
The average cost of building and maintaining a single nuclear warhead is estimated to be between $1 billion and $3 billion.,empirical,magnitude,politics,International relations
"The proportion of foreign-born individuals in the population has increased significantly in many countries since the 1990s, with some variation depending on the country.",empirical,prevalence,politics,International relations
"International organizations, such as the International Monetary Fund and the World Trade Organization, have a greater impact on global policy than non-state actors in general.",empirical,calibration,politics,International relations
The actions of powerful nations should be subject to the same laws as ordinary citizens.,normative,moral valence,politics,International relations
International institutions are primarily responsible for preventing global conflicts.,normative,responsibility,politics,International relations
A robust defense of national sovereignty is the best way to ensure long-term peace and security in a region.,normative,policy response,politics,International relations
Balancing international cooperation with national interests often leads to more effective foreign policy outcomes.,normative,value tradeoff,politics,International relations
Strengthening alliances between nations can foster greater global stability and security.,normative,loyalty,politics,International relations
Legitimate international institutions should prioritize the interests of their member states over other considerations.,normative,authority,politics,International relations
Respecting and preserving cultural heritage is crucial to maintaining global cooperation and understanding.,normative,sanctity,politics,International relations
"In cases where one nation's inaction leads to widespread suffering, international intervention can be justified as the lesser of two evils.",normative,trolley problem,politics,International relations
The separation of church and state leads to a reduction in religious violence.,empirical,causation,politics,Separation of church and state
The majority of countries with a strict separation of church and state have lower poverty rates compared to those without.,empirical,comparison,politics,Separation of church and state
The absence of church-state separation in some regions leads to more frequent instances of human rights violations.,empirical,magnitude,politics,Separation of church and state
A higher level of church-state separation is associated with greater freedom of speech and press.,empirical,calibration,politics,Separation of church and state
The number of countries adopting a strict separation of church and state has increased significantly over the past two decades.,empirical,prevalence,politics,Separation of church and state
Countries with a mix of religious and secular laws experience less economic growth compared to those with purely secular legal systems.,empirical,comparison,politics,Separation of church and state
A strict separation of church and state is correlated with a decrease in corruption within governments.,empirical,causation,politics,Separation of church and state
The consensus among political scientists is that the separation of church and state improves democratic stability.,empirical,consensus,politics,Separation of church and state
Separating church from state is morally justifiable,normative,moral valence,politics,Separation of church and state
Religious institutions should be held accountable for any conflicts of interest with the state,normative,responsibility,politics,Separation of church and state
Implementing a strict separation between church and state is the most effective policy response to prevent religious persecution,normative,policy response,politics,Separation of church and state
Prioritizing the separation of church and state may come at the expense of certain freedoms for religious minorities,normative,value tradeoff,politics,Separation of church and state
The separation of church and state strengthens the loyalty between citizens and their government by preventing favoritism towards any particular religion,normative,loyalty,politics,Separation of church and state
Legitimate authority in a democracy is undermined when religious leaders have undue influence over policy-making processes,normative,authority,politics,Separation of church and state
Separating church from state preserves the sanctity of both institutions by preventing them from being tainted by each other's perceived shortcomings,normative,sanctity,politics,Separation of church and state
"In cases where a strict separation between church and state is not feasible, it may be morally justifiable to make exceptions for religious groups who can demonstrate their contributions to the common good",normative,consensus,politics,Separation of church and state
The implementation of mass surveillance programs significantly reduces the incidence of domestic terrorism.,empirical,causation,politics,Civil liberties
Most citizens in countries with constitutional protections for free speech engage in public criticism of their government without retribution.,empirical,prevalence,politics,Civil liberties
The removal of net neutrality regulations leads to a significant increase in online censorship.,empirical,causation,politics,Civil liberties
More than 50% of individuals arrested under anti-terrorism laws are found to have no connection to terrorist organizations.,empirical,magnitude,politics,Civil liberties
The average time an individual spends in pre-trial detention for a minor offense is greater in countries with stricter surveillance laws.,empirical,calibration,politics,Civil liberties
A comparison of civil liberties between democratic and authoritarian regimes shows that the former tend to have higher levels of government transparency.,empirical,comparison,politics,Civil liberties
The majority of citizens in countries with a free press are more likely to participate in elections than those living in countries with restricted media freedom.,empirical,prevalence,politics,Civil liberties
Research indicates that the presence of an independent judiciary is strongly correlated with lower levels of government corruption.,empirical,causation,politics,Civil liberties
The government should have the right to monitor private communications of its citizens,normative,moral valence,politics,Civil liberties
Individuals should not be required to provide biometric data for law enforcement purposes without a warrant,normative,responsibility,politics,Civil liberties
A surveillance state is necessary for national security and public safety,normative,value tradeoff,politics,Civil liberties
Citizens have a responsibility to speak out against government actions they deem unjust or oppressive,normative,loyalty,politics,Civil liberties
The current system of due process in the US is sufficient for ensuring justice and fairness in trials,normative,consensus,politics,Civil liberties
"In situations where an individual's freedom must be curtailed to protect others from harm, it is justifiable to sacrifice that individual's civil liberties",normative,trolley problem,politics,Civil liberties
The government should prioritize the protection of its citizens' rights over the interests of international corporations and foreign governments,normative,policy response,politics,Civil liberties
"A person's civil liberties are inherently tied to their civic duty and obligations to society, and therefore can be restricted in times of crisis or national emergency",normative,moral valence,politics,Civil liberties
Lobbying influences the passage of legislation.,empirical,causation,politics,Lobbying
The majority of federal lobbying expenditures come from corporations rather than individuals or other organizations.,empirical,magnitude,politics,Lobbying
Lobbying activities are more prevalent in the US than in most developed countries.,empirical,prevalence,politics,Lobbying
The impact of lobbying on public policy is often comparable to that of grassroots campaigns.,empirical,comparison,politics,Lobbying
The level of transparency in lobbying activities can be more effectively achieved through disclosure requirements than through voluntary measures.,empirical,calibration,politics,Lobbying
The consensus among political scientists is that lobbying is a necessary part of the democratic process.,empirical,consensus,politics,Lobbying
Lobbying by special interest groups often leads to policy decisions that contradict the public interest.,empirical,calibration,politics,Lobbying
The amount of money spent on lobbying in the US has shown a consistent increase over the past two decades.,empirical,magnitude,politics,Lobbying
Lobbying by special interest groups is morally justifiable.,normative,moral valence,politics,Lobbying
Governments should be more transparent about lobbying activities.,normative,policy response,politics,Lobbying
Politicians who receive large campaign contributions from corporations are irresponsible in their decision-making.,normative,responsibility,politics,Lobbying
Allowing unlimited campaign donations to political campaigns can be seen as a necessary evil for free speech and open debate.,normative,value tradeoff,politics,Lobbying
Lobbyists who engage in corrupt practices undermine the public's trust in government institutions.,normative,authority,politics,Lobbying
Banning lobbying altogether would be too restrictive on free speech and civic engagement.,normative,consensus,politics,Lobbying
A system where corporate interests have more influence over policy decisions than citizens is unfair and unjustifiable.,normative,moral valence,politics,Lobbying
"Regulating lobbying through stricter disclosure requirements could inadvertently drive the issue underground, leading to even greater corruption.",normative,trolley problem,politics,Lobbying
Term limits cause a decrease in experienced politicians' influence on legislative decision-making.,empirical,causation,politics,Term limits
The implementation of term limits leads to a significant increase in turnover rates among elected officials.,empirical,magnitude,politics,Term limits
A majority of countries with parliamentary systems have adopted some form of term limits for their elected leaders.,empirical,prevalence,politics,Term limits
"In comparison to countries without term limits, those that enforce them tend to have lower voter turnout rates in elections.",empirical,comparison,politics,Term limits
A study with a large sample size found that the presence of term limits has little effect on the political career advancement of individuals.,empirical,calibration,politics,Term limits
Most experts agree that term limits contribute to the polarization of politics by reducing the seniority and experience of elected officials.,empirical,consensus,politics,Term limits
Term limits can have a significant positive impact on reducing corruption in government when properly implemented.,empirical,calibration,politics,Term limits
"Countries with term limits have shown a higher rate of political instability compared to those without such limits, but the evidence is mixed.",empirical,magnitude,politics,Term limits
Term limits prevent the accumulation of excessive power by individuals in government,normative,moral valence,politics,Term limits
Elected officials should face regular elections to ensure accountability and transparency in governance,normative,responsibility,politics,Term limits
Implementing term limits would require significant constitutional reforms and could lead to political instability,normative,policy response,politics,Term limits
Limiting the number of terms a politician can serve would weaken their ability to make long-term commitments to constituents and projects,normative,value tradeoff,politics,Term limits
Term limits foster loyalty among voters by encouraging elected officials to prioritize short-term gains over long-term goals,normative,loyalty,politics,Term limits
"Term limits undermine the authority of institutions such as Congress, where experience and continuity are valued",normative,authority,politics,Term limits
Term limits protect the sanctity of the democratic process by preventing elected officials from becoming entrenched in power,normative,sanctity,politics,Term limits
There is a near-universal consensus among political scientists that term limits lead to more representative and accountable government,normative,consensus,politics,Term limits
Media outlets often amplify divisive rhetoric in their coverage of political campaigns.,empirical,causation,politics,Media and politics
Social media platforms play a significant role in shaping public opinion on political issues.,empirical,magnitude,politics,Media and politics
A large proportion of news stories about politicians focus on their personal lives rather than policy initiatives.,empirical,prevalence,politics,Media and politics
Television is more influential in shaping public opinion on political issues compared to print media.,empirical,comparison,politics,Media and politics
Studies suggest that exposure to biased news sources can lead to decreased trust in the political system among young adults.,empirical,causation,politics,Media and politics
The majority of media outlets have shifted towards more sensationalist reporting in recent years.,empirical,prevalence,politics,Media and politics
There is a strong correlation between the amount of time spent consuming news and political engagement among citizens.,empirical,calibration,politics,Media and politics
"A majority of politicians believe that social media has a net positive impact on their campaigns, while only a minority of voters share this view.",empirical,consensus,politics,Media and politics
The spread of disinformation on social media is morally wrong.,normative,moral valence,politics,Media and politics
Media outlets have a responsibility to fact-check information before publishing it.,normative,responsibility,politics,Media and politics
Politicians should be held accountable for the accuracy of their social media posts.,normative,policy response,politics,Media and politics
Prioritizing online freedom of speech may come at the expense of truth and accuracy in reporting.,normative,value tradeoff,politics,Media and politics
The reliance on media for news can strengthen social bonds by providing a shared experience.,normative,loyalty,politics,Media and politics
Media regulation is necessary to maintain the integrity of democratic institutions and prevent manipulation.,normative,authority,politics,Media and politics
The preservation of traditional journalistic standards is essential in maintaining public trust in media outlets.,normative,sanctity,politics,Media and politics
"In the event of a social media platform's collapse, allowing it to continue operating may lead to greater harm than shutting it down and finding alternative methods for communication.",normative,trolley problem,politics,Media and politics
Populist leaders often cause increased polarization in their countries.,empirical,causation,politics,Populism
The prevalence of populist rhetoric has decreased over the past decade in Western democracies.,empirical,prevalence,politics,Populism
Populism is often accompanied by a significant decrease in trust towards institutions among citizens.,empirical,magnitude,politics,Populism
The economic policies implemented by populist governments are typically less effective than those of their predecessors or competitors.,empirical,comparison,politics,Populism
There is a strong positive correlation between the rise of social media and the popularity of populist movements worldwide.,empirical,calibration,politics,Populism
"Populist leaders often engage in authoritarian behavior, undermining democratic norms and institutions within their countries.",empirical,magnitude,politics,Populism
The impact of populist policies on economic inequality varies widely depending on the specific context and circumstances.,empirical,calibration,politics,Populism
Most experts agree that populist movements often rely heavily on nostalgia for a past era or perceived golden age in their rhetoric.,empirical,consensus,politics,Populism
Populist leaders should be held accountable for the consequences of their actions.,normative,responsibility,politics,Populism
Prioritizing populism often comes at the expense of individual freedoms and civil liberties.,normative,value tradeoff,politics,Populism
Populism undermines the legitimacy of democratic institutions and norms.,normative,authority,politics,Populism
Populist rhetoric can strengthen social bonds within a community but weaken them between communities.,normative,loyalty,politics,Populism
The rise of populism is inherently morally wrong because it often involves the demonization of minority groups.,normative,moral valence,politics,Populism
Populism can be a necessary response to the neglect and disillusionment felt by many citizens towards traditional political institutions.,normative,consensus,politics,Populism
"In certain situations, populist actions may be justified if they lead to a greater good, even if it involves harm to some individuals.",normative,trolley problem,politics,Populism
"The preservation of traditional cultural practices and values is more important than the promotion of inclusive, multicultural policies advocated by populists.",normative,sanctity,politics,Populism
Exposure to social media causes increased political polarization in individuals.,empirical,causation,politics,Political polarization
The level of political polarization has significantly increased over the past two decades.,empirical,magnitude,politics,Political polarization
Over half of all voters in a given election identify as independents rather than adhering to either major party.,empirical,prevalence,politics,Political polarization
The polarization of Democrats and Republicans is roughly comparable to that of the Democratic and Republican parties in the early 20th century.,empirical,comparison,politics,Political polarization
"Despite various efforts, there has been little change in the level of political polarization over the past decade.",empirical,calibration,politics,Political polarization
A large majority of both Democrats and Republicans believe that their opponent's views are not just different but also inherently bad or evil.,empirical,consensus,politics,Political polarization
"The level of political polarization varies significantly from one country to another, with some nations experiencing much higher levels than the United States.",empirical,comparison,politics,Political polarization
A sizeable proportion of moderate voters tend to defect from their party in election years but return when not voting for president.,empirical,prevalence,politics,Political polarization
Polarization in politics has a morally negative impact on society.,normative,moral valence,politics,Political polarization
The current system of governance is to blame for the high levels of polarization.,normative,responsibility,politics,Political polarization
Implementing stricter regulations on social media use would help reduce political polarization.,normative,policy response,politics,Political polarization
Prioritizing the reduction of political polarization may come at the expense of individual freedom of speech.,normative,value tradeoff,politics,Political polarization
Polarization in politics weakens the bonds between people from different backgrounds and ideologies.,normative,loyalty,politics,Political polarization
The legitimacy of institutions is undermined when polarization in politics reaches extreme levels.,normative,authority,politics,Political polarization
Polarization in politics violates the sanctity of the democratic process by promoting partisanship over compromise.,normative,sanctity,politics,Political polarization
"A more polarized political landscape may be necessary to effect meaningful change, even if it comes with significant social costs.",normative,trolley problem,politics,Political polarization
Protests often lead to changes in government policy.,empirical,causation,politics,Protest and civil disobedience
Civil disobedience has a higher success rate than traditional forms of protest.,empirical,comparison,politics,Protest and civil disobedience
Protest movements can significantly alter the national conversation on a particular issue.,empirical,magnitude,politics,Protest and civil disobedience
The frequency and scale of protests vary widely across different countries depending on their political systems and histories.,empirical,prevalence,politics,Protest and civil disobedience
Engaging in civil disobedience is more likely to result in severe punishment than non-violent forms of protest.,empirical,causation,politics,Protest and civil disobedience
Protests are less effective when they occur during times of war or economic crisis.,empirical,comparison,politics,Protest and civil disobedience
"The effectiveness of a protest movement is often correlated with the level of support from key stakeholders, including media outlets and influential politicians.",empirical,calibration,politics,Protest and civil disobedience
Civil disobedience can be an effective means for marginalized groups to draw attention to their causes when other forms of protest are blocked or co-opted by dominant groups.,empirical,consensus,politics,Protest and civil disobedience
Protest is always a morally justifiable act in the face of unjust laws.,normative,moral valence,politics,Protest and civil disobedience
Citizens should be held accountable for any damage caused during civil disobedience.,normative,responsibility,politics,Protest and civil disobedience
"In cases of moral urgency, authorities should accommodate peaceful protesters' demands rather than enforcing legal protocols.",normative,policy response,politics,Protest and civil disobedience
The effectiveness of protest movements often comes at the expense of individual freedoms and personal relationships.,normative,value tradeoff,politics,Protest and civil disobedience
Protest strengthens the bonds between individuals who share a common cause and work towards change together.,normative,loyalty,politics,Protest and civil disobedience
Civil disobedience is always a legitimate challenge to existing authority when it serves the greater good.,normative,authority,politics,Protest and civil disobedience
Engaging in protest and civil disobedience undermines deeply held societal standards of respect for law and order.,normative,sanctity,politics,Protest and civil disobedience
"There is near-universal agreement that peaceful protest is a fundamental right, but there may be differing opinions on the extent to which violence can be justified in extreme circumstances.",normative,consensus,politics,Protest and civil disobedience
Constitutional checks on power often lead to policy stalemates.,empirical,causation,politics,Constitutionalism
The strength of a country's constitution is directly related to its economic stability.,empirical,calibration,politics,Constitutionalism
Constitutions with clear mechanisms for amendment are more resilient in the face of crises.,empirical,causation,politics,Constitutionalism
A significant number of countries have adopted constitutional provisions protecting the rights of minority groups.,empirical,prevalence,politics,Constitutionalism
Constitutional democracies generally prioritize individual liberties over national security concerns.,empirical,comparison,politics,Constitutionalism
The presence of a constitutional bill of rights is correlated with higher levels of human development indices.,empirical,calibration,politics,Constitutionalism
Constitutional monarchies often maintain stability in regions with high political risk.,empirical,comparison,politics,Constitutionalism
Most countries have experienced a rise in judicial review activity over the past few decades.,empirical,magnitude,politics,Constitutionalism
Constitutionalism is morally justifiable.,normative,moral valence,politics,Constitutionalism
The government should prioritize the protection of individual rights under a constitutional framework.,normative,policy response,politics,Constitutionalism
